country_code,country_name,job_complexity_index,job_price_index,total_employment,num_occupations,job_complexity_index_normalized,job_price_index_normalized
USA,United States,0.7749010944466964,89151.54803404945,49340,10,100.0,100.0
GBR,United Kingdom,0.6499091779459087,47302.07956009815,226596,9,68.8050917777885,53.058057435000656
CAN,Canada,0.5866536851165467,41064.9506085458,64991,9,53.018076516283415,46.061960239727924
MEX,Mexico,0.4881943190749466,16087.322460188881,455526,9,28.445040329055363,18.044916566165163
IND,India,0.3742205871971493,12312.334641084304,3632190,9,0.0,13.81056741312207
EGY,Egypt,0.45208535350259493,12508.512846824238,349853,9,19.433130610706456,14.030617664706046
EUU,European Union,0.6480962431405657,45403.54579991558,236900,9,68.35262783892911,50.92849961794797
